,DE_LU_WINDONSHORE,FR_WINDONSHORE,IT_NORD_WINDONSHORE,ES_WINDONSHORE
2019-12-10,1785004.0,147888.0,676.0,146900.0
2019-12-11,1396806.0,120363.0,215.0,243479.0
2019-12-12,1205715.0,195174.0,288.0,364215.0
2019-12-13,1888933.0,270789.0,657.0,382900.0
2019-12-14,2841656.0,242493.0,445.0,290854.0
2019-12-15,2849793.0,172358.0,799.0,180178.0
2019-12-16,1322309.0,113907.0,175.0,244177.0
2019-12-17,1939601.0,152329.0,420.0,105672.0
2019-12-18,1216875.0,140672.0,126.0,198801.0
2019-12-19,1674464.0,244433.0,163.0,302494.0
2019-12-20,2045612.0,221468.0,925.0,293051.0
2019-12-21,1253021.0,205122.0,802.0,219133.0
2019-12-22,1416735.0,245189.0,491.0,222371.0
2019-12-23,1958389.0,192585.0,717.0,197644.0
2019-12-24,1622439.0,224368.0,450.0,75941.0
2019-12-25,1005686.0,80786.0,197.0,82723.0
2019-12-26,456265.0,135459.0,100.0,100204.0
2019-12-27,425815.0,91967.0,119.0,66449.0
2019-12-28,370011.0,53403.0,196.0,55313.0
2019-12-29,911816.0,58537.0,152.0,49339.0
2019-12-30,2143390.0,47067.0,464.0,46358.0
2019-12-31,1374521.0,38694.0,77.0,41432.0
2020-01-01,589075.0,40259.0,45.0,23866.0
2020-01-02,1034410.0,83149.0,121.0,75814.0
2020-01-03,2540124.0,155886.0,414.0,78610.0
2020-01-04,2697326.0,72298.0,133.0,112970.0
2020-01-05,883737.0,41097.0,156.0,56653.0
2020-01-06,1023683.0,93708.0,78.0,50869.0
2020-01-07,1524689.0,93827.0,170.0,53145.0
2020-01-08,1813035.0,96361.0,160.0,55984.0
2020-01-09,1791473.0,216136.0,539.0,132319.0
2020-01-10,2099552.0,111304.0,404.0,167587.0
2020-01-11,1618187.0,83426.0,521.0,73956.0
2020-01-12,2631889.0,127318.0,212.0,54872.0
2020-01-13,1418280.0,153054.0,68.0,132271.0
2020-01-14,3158421.0,276838.0,349.0,190607.0
2020-01-15,2897788.0,212384.0,359.0,188397.0
2020-01-16,1359390.0,163377.0,72.0,210214.0
2020-01-17,1808122.0,176666.0,325.0,197591.0
2020-01-18,1555012.0,72054.0,547.0,198029.0
2020-01-19,685503.0,125216.0,700.0,327441.0
2020-01-20,617443.0,121148.0,970.0,338754.0
2020-01-21,1052874.0,73078.0,629.0,271441.0
2020-01-22,741316.0,99407.0,86.0,151620.0
2020-01-23,271157.0,95923.0,76.0,79673.0
2020-01-24,507695.0,33026.0,133.0,58361.0
2020-01-25,366620.0,37045.0,228.0,45065.0
2020-01-26,605288.0,98987.0,59.0,134340.0
2020-01-27,1810674.0,208721.0,495.0,261080.0
2020-01-28,2863812.0,261372.0,792.0,211218.0
2020-01-29,2895598.0,148431.0,356.0,205393.0
2020-01-30,2874949.0,187334.0,449.0,224994.0
2020-01-31,3041199.0,159849.0,564.0,190769.0
2020-02-01,3101669.0,216879.0,620.0,226600.0
2020-02-02,2075564.0,222575.0,633.0,160316.0
2020-02-03,2170137.0,180738.0,476.0,119017.0
2020-02-04,2344133.0,224230.0,852.0,189208.0
2020-02-05,1246203.0,55593.0,930.0,155549.0
2020-02-06,969155.0,81384.0,158.0,138488.0
2020-02-07,729449.0,110791.0,216.0,93578.0
2020-02-08,1327721.0,97161.0,32.0,67434.0
2020-02-09,3016442.0,270158.0,386.0,166254.0
2020-02-10,3393731.0,281300.0,685.0,215722.0
2020-02-11,3662272.0,259870.0,470.0,102992.0
2020-02-12,3285483.0,150994.0,163.0,45706.0
2020-02-13,1942406.0,262831.0,493.0,158402.0
2020-02-14,917792.0,103270.0,174.0,63521.0
2020-02-15,2208106.0,193470.0,78.0,122188.0
2020-02-16,3370267.0,279253.0,262.0,182959.0
2020-02-17,2894852.0,210270.0,586.0,172491.0
2020-02-18,3163205.0,195980.0,150.0,106352.0
2020-02-19,2696808.0,151442.0,101.0,79381.0
2020-02-20,2479705.0,190747.0,132.0,99092.0
2020-02-21,2866590.0,118394.0,102.0,89151.0
2020-02-22,3513209.0,189415.0,166.0,54177.0
2020-02-23,3019045.0,222434.0,730.0,51665.0
2020-02-24,2205786.0,193610.0,376.0,70847.0
2020-02-25,2845142.0,233028.0,675.0,209950.0
2020-02-26,1639367.0,210878.0,692.0,229900.0
2020-02-27,1018356.0,206921.0,606.0,276422.0
2020-02-28,2073538.0,169553.0,460.0,168802.0
2020-02-29,2910907.0,280004.0,666.0,330093.0
2020-03-01,2471795.0,201841.0,603.0,349018.0
2020-03-02,954702.0,165113.0,861.0,339750.0
2020-03-03,1020964.0,77326.0,312.0,339194.0
2020-03-04,771793.0,94360.0,231.0,290762.0
2020-03-05,1168877.0,185843.0,304.0,349954.0
2020-03-06,1790544.0,155272.0,283.0,347224.0
2020-03-07,1358144.0,86316.0,347.0,200575.0
2020-03-08,1880399.0,195011.0,105.0,172607.0
2020-03-09,1116328.0,161003.0,409.0,222308.0
2020-03-10,3201177.0,262535.0,233.0,143892.0
2020-03-11,2430654.0,225807.0,506.0,71218.0
2020-03-12,3207757.0,188272.0,768.0,95344.0
2020-03-13,2697069.0,104414.0,448.0,142760.0
2020-03-14,767913.0,79583.0,237.0,53081.0
2020-03-15,1934016.0,107380.0,552.0,151134.0
2020-03-16,605234.0,59357.0,346.0,247091.0
2020-03-17,744492.0,26216.0,47.0,214180.0
2020-03-18,1178695.0,21998.0,240.0,111043.0
2020-03-19,223881.0,43634.0,102.0,117883.0
2020-03-20,781774.0,118612.0,61.0,128282.0
2020-03-21,2178274.0,179979.0,67.0,66913.0
2020-03-22,1858066.0,193667.0,586.0,50006.0
2020-03-23,1457711.0,159917.0,880.0,122468.0
2020-03-24,1322410.0,121841.0,425.0,126667.0
2020-03-25,1510000.0,113859.0,921.0,55319.0
2020-03-26,1643157.0,130271.0,713.0,196700.0
2020-03-27,1330292.0,66951.0,659.0,105984.0
2020-03-28,1129643.0,122306.0,234.0,38710.0
2020-03-29,2112432.0,261970.0,72.0,166903.0
2020-03-30,837508.0,220463.0,136.0,224595.0
2020-03-31,464601.0,161342.0,500.0,206830.0
2020-04-01,811106.0,78058.0,422.0,79194.0
2020-04-02,1429915.0,48826.0,67.0,130020.0
2020-04-03,1229679.0,37340.0,151.0,86472.0
2020-04-04,478808.0,69504.0,168.0,201845.0
2020-04-05,1612992.0,141036.0,645.0,175380.0
2020-04-06,1104774.0,92443.0,445.0,81365.0
2020-04-07,606065.0,51586.0,311.0,75155.0
2020-04-08,474801.0,32849.0,294.0,66334.0
2020-04-09,548168.0,43522.0,98.0,87578.0
2020-04-10,370745.0,57181.0,54.0,78468.0
2020-04-11,270497.0,32678.0,85.0,74021.0
2020-04-12,519928.0,42474.0,415.0,102462.0
2020-04-13,1742087.0,169127.0,510.0,70969.0
2020-04-14,987996.0,128925.0,293.0,104275.0
2020-04-15,924355.0,103830.0,376.0,193981.0
2020-04-16,520527.0,62309.0,190.0,206688.0
2020-04-17,324846.0,50040.0,224.0,150203.0
2020-04-18,689405.0,31906.0,203.0,46918.0
2020-04-19,1409794.0,70077.0,95.0,80817.0
2020-04-20,2221505.0,126456.0,691.0,126133.0
2020-04-21,2480543.0,108049.0,938.0,183390.0
2020-04-22,1737061.0,67901.0,811.0,110804.0
2020-04-23,416864.0,29363.0,228.0,66670.0
2020-04-24,1132476.0,28647.0,297.0,82910.0
2020-04-25,578110.0,39094.0,739.0,37623.0
2020-04-26,139070.0,21368.0,406.0,59258.0
2020-04-27,275162.0,35901.0,510.0,120342.0
2020-04-28,510033.0,115273.0,554.0,182807.0
2020-04-29,724608.0,136413.0,562.0,249280.0
2020-04-30,1435381.0,195832.0,766.0,311834.0
2020-05-01,1344948.0,162736.0,768.0,255153.0
2020-05-02,1237796.0,87736.0,215.0,136167.0
2020-05-03,432202.0,39406.0,187.0,70254.0
2020-05-04,575382.0,63027.0,258.0,226333.0
2020-05-05,788353.0,93392.0,768.0,96536.0
2020-05-06,805324.0,49906.0,217.0,52428.0
2020-05-07,370072.0,35743.0,168.0,157755.0
2020-05-08,198223.0,47318.0,249.0,108491.0
2020-05-09,292043.0,43138.0,283.0,106439.0
2020-05-10,775697.0,90782.0,205.0,155029.0
2020-05-11,1983532.0,237074.0,844.0,175188.0
2020-05-12,799899.0,84848.0,745.0,61328.0
2020-05-13,477406.0,126975.0,290.0,65130.0
2020-05-14,696825.0,183446.0,304.0,152904.0
2020-05-15,846849.0,104723.0,769.0,175449.0
2020-05-16,822266.0,55117.0,267.0,182227.0
2020-05-17,875357.0,51730.0,289.0,100830.0
2020-05-18,782526.0,52622.0,420.0,98587.0
2020-05-19,564052.0,65212.0,567.0,94127.0
2020-05-20,181235.0,47523.0,381.0,49166.0
2020-05-21,251111.0,30335.0,57.0,45763.0
2020-05-22,862457.0,72671.0,202.0,49395.0
2020-05-23,1322825.0,105459.0,698.0,158624.0
2020-05-24,1639508.0,60995.0,212.0,150716.0
2020-05-25,1235151.0,56501.0,120.0,161873.0
2020-05-26,154980.0,84738.0,174.0,203885.0
2020-05-27,460737.0,79309.0,80.0,166786.0
2020-05-28,904173.0,94458.0,124.0,109332.0
2020-05-29,531165.0,102519.0,394.0,77213.0
2020-05-30,917537.0,80442.0,127.0,95793.0
2020-05-31,1022431.0,102012.0,36.0,88052.0
2020-06-01,772351.0,68921.0,93.0,46137.0
2020-06-02,340673.0,31753.0,155.0,39564.0
2020-06-03,380074.0,44115.0,642.0,91550.0
