,DE_LU_HYDRORIVER,FR_HYDRORIVER,IT_NORD_HYDRORIVER,ES_HYDRORIVER
2020-01-04,129923.0,121992.0,59295.0,31108.0
2020-01-05,124541.0,114263.0,53434.0,30367.0
2020-01-06,119629.0,121143.0,67206.0,30491.0
2020-01-07,124579.0,128567.0,82971.0,33405.0
2020-01-08,132902.0,128564.0,73820.0,31826.0
2020-01-09,132344.0,121203.0,81505.0,29850.0
2020-01-10,131786.0,120228.0,80626.0,29638.0
2020-01-11,128932.0,98246.0,54704.0,30053.0
2020-01-12,114718.0,82796.0,53808.0,27904.0
2020-01-13,118618.0,114305.0,80547.0,30634.0
2020-01-14,128187.0,104617.0,77118.0,29528.0
2020-01-15,128245.0,104728.0,77524.0,29688.0
2020-01-16,126670.0,107310.0,68696.0,30849.0
2020-01-17,122168.0,110875.0,68692.0,32379.0
2020-01-18,115863.0,103104.0,61734.0,30379.0
2020-01-19,114637.0,87350.0,41670.0,30949.0
2020-01-20,113189.0,121032.0,60971.0,31581.0
2020-01-21,122843.0,126979.0,67125.0,30415.0
2020-01-22,124122.0,125543.0,74856.0,30372.0
2020-01-23,126400.0,126241.0,75784.0,32199.0
2020-01-24,126709.0,133072.0,74615.0,33426.0
2020-01-25,122197.0,119877.0,52042.0,33658.0
2020-01-26,114324.0,94946.0,42958.0,30935.0
2020-01-27,113285.0,109846.0,67555.0,33900.0
2020-01-28,125639.0,108963.0,60693.0,35490.0
2020-01-29,128552.0,122414.0,59724.0,36441.0
2020-01-30,129252.0,123632.0,59299.0,38595.0
2020-01-31,126625.0,128977.0,59611.0,38446.0
2020-02-01,131280.0,122901.0,44447.0,39797.0
2020-02-02,136444.0,125897.0,41087.0,40371.0
2020-02-03,180268.0,137431.0,55727.0,39381.0
2020-02-04,172785.0,139203.0,68360.0,37726.0
2020-02-05,177938.0,152823.0,67878.0,37129.0
2020-02-06,175131.0,156848.0,68607.0,36878.0
2020-02-07,170748.0,154518.0,72423.0,36003.0
2020-02-08,165336.0,133222.0,52753.0,33894.0
2020-02-09,151386.0,120882.0,44381.0,31327.0
2020-02-10,156554.0,129373.0,66691.0,34331.0
2020-02-11,173648.0,134514.0,63632.0,34039.0
2020-02-12,171632.0,135974.0,58012.0,33896.0
2020-02-13,167464.0,137835.0,55615.0,33034.0
