,DE_LU_GEO,ES_GEO
2019-11-30,2623.0,0.0
2019-12-01,2652.0,0.0
2019-12-02,2585.0,0.0
2019-12-03,2659.0,0.0
2019-12-04,2424.0,0.0
2019-12-05,2477.0,0.0
2019-12-06,2146.0,0.0
2019-12-07,2014.0,0.0
2019-12-08,2026.0,0.0
2019-12-09,1982.0,0.0
2019-12-10,2176.0,0.0
2019-12-11,2110.0,0.0
2019-12-12,2035.0,0.0
2019-12-13,1964.0,0.0
2019-12-14,1929.0,0.0
2019-12-15,1889.0,0.0
2019-12-16,2110.0,0.0
2019-12-17,1495.0,0.0
2019-12-18,1771.0,0.0
2019-12-19,2330.0,0.0
2019-12-20,2255.0,0.0
2019-12-21,2575.0,0.0
2019-12-22,2566.0,0.0
2019-12-23,2554.0,0.0
2019-12-24,2586.0,0.0
2019-12-25,2585.0,0.0
2019-12-26,2719.0,0.0
2019-12-27,2689.0,0.0
2019-12-28,2811.0,0.0
2019-12-29,2657.0,0.0
2019-12-30,2723.0,0.0
2019-12-31,2631.0,0.0
2020-01-01,2758.0,0.0
2020-01-02,2747.0,0.0
2020-01-03,2461.0,0.0
2020-01-04,2305.0,0.0
2020-01-05,2388.0,0.0
2020-01-06,2459.0,0.0
2020-01-07,2407.0,0.0
2020-01-08,2451.0,0.0
2020-01-09,2361.0,0.0
2020-01-10,2396.0,0.0
2020-01-11,2684.0,0.0
2020-01-12,2758.0,0.0
2020-01-13,2727.0,0.0
2020-01-14,2628.0,0.0
2020-01-15,2635.0,0.0
2020-01-16,2586.0,0.0
2020-01-17,2603.0,0.0
2020-01-18,2712.0,0.0
2020-01-19,2753.0,0.0
2020-01-20,2306.0,0.0
2020-01-21,2322.0,0.0
2020-01-22,2626.0,0.0
2020-01-23,2633.0,0.0
2020-01-24,2592.0,0.0
2020-01-25,2692.0,0.0
2020-01-26,2660.0,0.0
2020-01-27,2600.0,0.0
2020-01-28,2548.0,0.0
2020-01-29,2630.0,0.0
2020-01-30,2478.0,0.0
2020-01-31,2341.0,0.0
2020-02-01,2435.0,0.0
2020-02-02,2417.0,0.0
2020-02-03,2598.0,0.0
2020-02-04,2553.0,0.0
2020-02-05,2741.0,0.0
2020-02-06,2749.0,0.0
2020-02-07,2776.0,0.0
2020-02-08,2743.0,0.0
2020-02-09,2614.0,0.0
2020-02-10,2171.0,0.0
