,OECDplus6_WIP
2019-12-01,133.57554746476427
2019-12-02,133.57554746476427
2019-12-03,133.57554746476427
2019-12-04,133.57554746476427
2019-12-05,133.57554746476427
2019-12-06,133.57554746476427
2019-12-07,133.57554746476427
2019-12-08,133.57554746476427
2019-12-09,133.57554746476427
2019-12-10,133.57554746476427
2019-12-11,133.57554746476427
2019-12-12,133.57554746476427
2019-12-13,133.57554746476427
2019-12-14,133.57554746476427
2019-12-15,133.57554746476427
2019-12-16,133.57554746476427
2019-12-17,133.57554746476427
2019-12-18,133.57554746476427
2019-12-19,133.57554746476427
2019-12-20,133.57554746476427
2019-12-21,133.57554746476427
2019-12-22,133.57554746476427
2019-12-23,133.57554746476427
2019-12-24,133.57554746476427
2019-12-25,133.57554746476427
2019-12-26,133.57554746476427
2019-12-27,133.57554746476427
2019-12-28,133.57554746476427
2019-12-29,133.57554746476427
2019-12-30,133.57554746476427
2019-12-31,133.57554746476427
2020-01-01,127.58934901325416
2020-01-02,127.58934901325416
2020-01-03,127.58934901325416
2020-01-04,127.58934901325416
2020-01-05,127.58934901325416
2020-01-06,127.58934901325416
2020-01-07,127.58934901325416
2020-01-08,127.58934901325416
2020-01-09,127.58934901325416
2020-01-10,127.58934901325416
2020-01-11,127.58934901325416
2020-01-12,127.58934901325416
2020-01-13,127.58934901325416
2020-01-14,127.58934901325416
2020-01-15,127.58934901325416
2020-01-16,127.58934901325416
2020-01-17,127.58934901325416
2020-01-18,127.58934901325416
2020-01-19,127.58934901325416
2020-01-20,127.58934901325416
2020-01-21,127.58934901325416
2020-01-22,127.58934901325416
2020-01-23,127.58934901325416
2020-01-24,127.58934901325416
2020-01-25,127.58934901325416
2020-01-26,127.58934901325416
2020-01-27,127.58934901325416
2020-01-28,127.58934901325416
2020-01-29,127.58934901325416
2020-01-30,127.58934901325416
2020-01-31,127.58934901325416
2020-02-01,128.17717093465464
2020-02-02,128.17717093465464
2020-02-03,128.17717093465464
2020-02-04,128.17717093465464
2020-02-05,128.17717093465464
2020-02-06,128.17717093465464
2020-02-07,128.17717093465464
2020-02-08,128.17717093465464
2020-02-09,128.17717093465464
2020-02-10,128.17717093465464
2020-02-11,128.17717093465464
2020-02-12,128.17717093465464
2020-02-13,128.17717093465464
2020-02-14,128.17717093465464
2020-02-15,128.17717093465464
2020-02-16,128.17717093465464
2020-02-17,128.17717093465464
2020-02-18,128.17717093465464
2020-02-19,128.17717093465464
2020-02-20,128.17717093465464
2020-02-21,128.17717093465464
2020-02-22,128.17717093465464
2020-02-23,128.17717093465464
2020-02-24,128.17717093465464
2020-02-25,128.17717093465464
2020-02-26,128.17717093465464
2020-02-27,128.17717093465464
2020-02-28,128.17717093465464
2020-02-29,128.17717093465464
2020-03-01,127.84462769022163
2020-03-02,127.84462769022163
2020-03-03,127.84462769022163
2020-03-04,127.84462769022163
2020-03-05,127.84462769022163
2020-03-06,127.84462769022163
2020-03-07,127.84462769022163
2020-03-08,127.84462769022163
2020-03-09,127.84462769022163
2020-03-10,127.84462769022163
2020-03-11,127.84462769022163
2020-03-12,127.84462769022163
2020-03-13,127.84462769022163
2020-03-14,127.84462769022163
2020-03-15,127.84462769022163
2020-03-16,127.84462769022163
2020-03-17,127.84462769022163
2020-03-18,127.84462769022163
2020-03-19,127.84462769022163
2020-03-20,127.84462769022163
