,DE_LU_Eprice_max,FR_Eprice_max,IT_NORD_Eprice_max,ES_Eprice_max
2019-11-28,40.58,55.37,74.53,55.37
2019-11-29,55.36,56.53,65.45,56.53
2019-11-30,53.1,53.1,57.0,50.01
2019-12-01,52.4,52.4,52.53,52.4
2019-12-02,57.23,67.64,70.0,51.47
2019-12-03,76.47,76.47,75.05,64.26
2019-12-04,70.6,86.55,78.99,60.63
2019-12-05,59.59,88.32,77.98,58.3
2019-12-06,40.25,56.16,60.71,54.6
2019-12-07,42.68,51.76,52.0,51.76
2019-12-08,15.23,46.74,50.61,48.6
2019-12-09,40.68,52.17,56.1,52.17
2019-12-10,56.38,56.38,56.38,55.84
2019-12-11,60.23,60.23,69.82,54.5
2019-12-12,61.6,61.6,68.59,44.59
2019-12-13,50.88,49.05,60.0,38.01
2019-12-14,31.97,36.99,52.62,36.99
2019-12-15,35.63,43.96,50.11,44.59
2019-12-16,52.01,52.01,65.0,47.45
2019-12-17,49.5,56.27,60.77,56.27
2019-12-18,54.19,54.19,56.03,49.1
2019-12-19,42.95,42.95,75.0,35.74
2019-12-20,37.48,40.33,51.0,32.51
2019-12-21,42.2,37.76,43.0,5.26
2019-12-22,40.0,37.0,40.0,6.6
2019-12-23,40.93,40.93,49.99,40.93
2019-12-24,40.0,36.51,40.0,36.51
2019-12-25,37.37,32.09,34.45,31.0
2019-12-26,42.64,42.64,42.64,42.64
2019-12-27,49.38,44.88,47.83,44.88
2019-12-28,43.75,43.75,44.0,43.75
2019-12-29,41.16,43.5,43.5,43.5
2019-12-30,39.35,47.82,47.82,47.82
2019-12-31,47.73,47.73,47.73,47.73
2020-01-01,44.05,46.16,47.38,46.16
2020-01-02,46.72,46.72,50.46,46.72
2020-01-03,41.35,45.2,53.35,47.23
2020-01-04,39.75,44.24,47.21,44.44
2020-01-05,46.16,46.16,46.16,53.29
2020-01-06,48.91,49.01,49.01,49.01
2020-01-07,51.12,51.12,61.05,56.26
2020-01-08,55.92,55.92,58.88,55.92
2020-01-09,47.92,47.51,75.09,53.31
2020-01-10,47.4,49.97,70.49,50.85
2020-01-11,40.56,44.65,45.15,56.26
2020-01-12,27.1,40.87,50.0,55.98
2020-01-13,52.93,52.93,66.5,52.93
2020-01-14,38.0,39.37,74.0,46.75
2020-01-15,36.56,44.25,72.0,52.8
2020-01-16,52.4,52.4,61.98,52.4
2020-01-17,46.0,46.0,65.0,51.75
2020-01-18,43.04,43.04,53.69,43.04
2020-01-19,44.24,44.24,46.29,37.43
2020-01-20,60.0,59.32,59.32,50.7
2020-01-21,55.81,62.05,62.05,50.0
2020-01-22,65.09,65.09,65.09,59.58
2020-01-23,68.64,68.64,68.64,62.48
2020-01-24,66.74,66.74,66.74,62.3
2020-01-25,49.99,49.99,55.0,53.7
2020-01-26,42.0,44.42,52.15,46.03
2020-01-27,51.21,51.21,62.42,47.12
2020-01-28,44.94,44.94,57.16,51.0
2020-01-29,45.1,45.1,61.41,46.47
2020-01-30,44.12,45.29,54.78,45.29
2020-01-31,39.59,40.56,53.82,43.2
2020-02-01,16.97,31.12,44.5,40.1
2020-02-02,40.73,36.93,45.0,45.19
2020-02-03,39.97,39.97,52.5,50.77
2020-02-04,41.3,41.51,49.52,43.5
2020-02-05,49.16,49.16,51.47,45.66
2020-02-06,47.21,47.21,57.5,47.21
2020-02-07,56.96,54.58,63.28,48.11
2020-02-08,41.3,41.3,47.0,43.28
2020-02-09,14.93,28.63,43.52,37.05
2020-02-10,25.69,34.02,50.41,48.05
2020-02-11,24.55,38.71,54.47,49.15
2020-02-12,37.45,44.38,60.23,48.05
2020-02-13,58.88,42.13,57.21,46.46
2020-02-14,56.74,45.66,55.74,47.43
2020-02-15,31.49,31.49,48.15,39.55
2020-02-16,0.74,18.59,46.15,37.69
2020-02-17,36.95,36.95,53.05,43.4
2020-02-18,38.88,38.88,53.86,43.5
2020-02-19,44.65,44.65,49.59,50.33
2020-02-20,40.21,40.15,60.41,47.66
2020-02-21,39.13,39.43,62.04,50.24
2020-02-22,8.76,33.44,47.0,46.5
2020-02-23,23.57,30.11,42.2,48.38
2020-02-24,47.96,43.0,58.69,47.2
2020-02-25,39.49,39.94,48.91,41.82
2020-02-26,42.17,42.17,46.17,42.17
2020-02-27,59.98,48.06,59.98,41.23
2020-02-28,43.88,43.88,63.28,43.88
2020-02-29,14.01,25.61,42.0,24.03
2020-03-01,36.12,36.12,39.9,28.0
2020-03-02,49.5,49.5,49.5,37.75
2020-03-03,56.9,56.9,56.9,40.2
2020-03-04,64.7,64.7,64.7,43.58
2020-03-05,54.64,54.64,61.89,30.24
2020-03-06,38.04,38.04,52.57,35.46
2020-03-07,39.95,39.95,44.01,37.61
2020-03-08,34.86,34.86,46.75,34.86
2020-03-09,58.98,58.98,66.02,40.5
2020-03-10,31.77,37.1,61.23,44.5
2020-03-11,37.99,37.99,63.14,48.28
2020-03-12,39.63,39.63,60.55,41.58
2020-03-13,42.5,42.5,44.2,42.5
2020-03-14,38.53,38.53,39.28,40.67
2020-03-15,30.18,32.08,41.39,35.01
2020-03-16,61.96,61.79,61.79,37.03
2020-03-17,38.23,38.23,48.0,39.43
2020-03-18,41.07,40.38,41.07,40.38
2020-03-19,44.42,33.64,44.42,36.42
2020-03-20,35.0,28.92,44.02,35.03
2020-03-21,20.12,23.86,34.72,34.83
2020-03-22,22.93,22.93,33.14,32.57
2020-03-23,33.14,33.14,33.14,33.99
2020-03-24,33.8,33.78,45.71,34.06
2020-03-25,34.88,34.48,40.0,34.48
2020-03-26,34.64,32.46,34.4,32.46
2020-03-27,30.0,30.0,51.62,30.75
2020-03-28,21.93,21.93,45.0,31.48
2020-03-29,20.59,20.59,44.64,26.1
2020-03-30,38.93,31.44,41.69,28.98
2020-03-31,42.66,29.02,40.0,30.01
2020-04-01,34.97,29.43,40.0,31.01
2020-04-02,27.8,27.8,45.0,28.1
2020-04-03,33.54,29.15,44.0,30.11
2020-04-04,36.75,21.79,30.5,21.1
2020-04-05,19.9,19.08,50.0,22.65
2020-04-06,45.33,24.17,47.04,30.19
2020-04-07,40.1,23.66,55.16,28.51
2020-04-08,50.33,22.66,45.37,30.0
2020-04-09,31.43,22.66,46.39,27.99
2020-04-10,34.83,21.31,33.79,27.69
2020-04-11,35.95,21.82,39.36,29.0
2020-04-12,25.17,21.81,31.99,28.03
2020-04-13,11.21,14.74,33.0,29.51
2020-04-14,39.91,21.13,37.6,26.9
2020-04-15,41.91,19.74,40.0,25.5
2020-04-16,53.25,17.34,37.42,19.5
2020-04-17,48.75,22.1,38.85,24.67
2020-04-18,29.42,21.16,38.47,26.01
2020-04-19,15.59,14.01,46.49,15.01
2020-04-20,22.93,15.81,41.97,18.33
2020-04-21,16.52,11.43,41.9,11.43
2020-04-22,25.54,22.19,40.0,22.19
2020-04-23,69.68,23.94,38.7,23.94
2020-04-24,35.85,23.08,38.03,23.08
2020-04-25,32.0,22.7,30.72,22.7
2020-04-26,31.84,25.15,36.98,25.15
2020-04-27,48.31,24.1,40.71,24.1
2020-04-28,31.28,24.93,32.0,24.56
2020-04-29,30.85,20.96,32.79,15.0
2020-04-30,34.74,12.04,36.0,12.04
2020-05-01,28.43,19.0,25.59,15.39
2020-05-02,28.04,24.38,34.94,24.38
2020-05-03,28.96,23.01,32.0,23.01
2020-05-04,55.13,22.92,44.6,22.51
2020-05-05,32.41,25.34,34.14,25.34
2020-05-06,29.2,26.55,36.0,26.55
2020-05-07,50.98,25.77,34.34,25.77
2020-05-08,41.62,26.12,30.64,26.12
2020-05-09,36.61,22.93,32.38,22.93
2020-05-10,19.1,15.5,27.38,15.5
2020-05-11,24.95,21.85,35.85,22.75
2020-05-12,33.36,27.94,30.67,27.94
2020-05-13,43.68,27.75,39.85,28.01
2020-05-14,30.08,26.03,29.79,29.11
2020-05-15,27.97,23.01,25.9,23.14
2020-05-16,29.42,23.56,23.56,23.56
2020-05-17,23.95,23.95,24.3,27.68
2020-05-18,31.9,24.24,35.8,29.0
2020-05-19,49.98,25.39,30.0,28.0
2020-05-20,57.0,25.12,30.27,28.18
2020-05-21,42.66,24.51,24.51,31.19
2020-05-22,23.71,22.81,24.8,31.15
2020-05-23,16.72,16.72,20.0,20.45
2020-05-24,16.31,17.97,24.0,28.02
2020-05-25,38.32,24.1,24.1,27.51
2020-05-26,50.15,23.59,32.46,27.4
2020-05-27,31.94,26.85,30.65,29.01
2020-05-28,27.16,24.99,39.1,35.0
2020-05-29,37.2,25.0,36.31,35.0
2020-05-30,18.28,17.91,40.85,33.44
2020-05-31,13.38,15.2,38.58,36.19
2020-06-01,23.37,23.37,28.0,36.67
2020-06-02,60.75,26.94,28.0,37.01
2020-06-03,51.41,33.62,33.62,36.15
2020-06-04,43.97,33.04,33.25,33.04
2020-06-05,37.07,29.4,29.4,35.66
2020-06-06,23.91,23.91,23.91,33.69
2020-06-07,32.33,32.09,32.09,32.09
2020-06-08,41.92,37.55,37.55,32.09
2020-06-09,52.31,40.0,40.0,32.93
2020-06-10,42.15,35.0,34.91,34.89
2020-06-11,30.65,30.65,31.4,30.0
2020-06-12,27.51,27.51,27.51,26.01
2020-06-13,25.96,25.96,25.96,33.79
2020-06-14,27.91,27.91,27.0,33.0
2020-06-15,43.52,43.52,43.52,36.39
2020-06-16,45.9,40.66,40.66,36.21
2020-06-17,56.52,44.71,40.21,37.46
2020-06-18,36.99,36.99,36.99,36.99
2020-06-19,37.8,37.8,37.8,37.8
2020-06-20,34.94,34.94,34.94,36.57
2020-06-21,32.93,32.93,32.93,32.93
2020-06-22,38.58,38.58,38.58,37.63
2020-06-23,48.65,42.17,42.17,39.5
2020-06-24,47.11,46.69,46.69,41.02
2020-06-25,44.13,44.13,44.13,42.09
2020-06-26,46.8,46.8,46.8,40.13
2020-06-27,32.96,32.91,32.91,39.84
2020-06-28,36.0,36.0,36.0,39.76
2020-06-29,40.45,39.04,39.04,39.84
2020-06-30,36.1,40.01,40.01,40.44
2020-07-01,43.29,43.29,47.99,40.25
2020-07-02,52.65,52.24,52.51,41.37
2020-07-03,49.95,49.95,49.95,38.95
2020-07-04,28.03,29.19,29.19,38.41
2020-07-05,30.24,30.28,30.28,38.0
2020-07-06,35.94,37.23,45.0,37.23
2020-07-07,40.84,40.84,40.84,40.84
2020-07-08,55.0,55.0,55.0,40.6
2020-07-09,51.96,51.7,51.7,43.82
2020-07-10,42.94,42.94,42.94,42.94
2020-07-11,37.73,37.73,37.73,37.73
2020-07-12,37.74,37.74,37.74,41.2
2020-07-13,45.56,45.56,45.56,39.27
2020-07-14,46.08,45.0,45.0,38.3
2020-07-15,57.38,48.52,48.52,37.11
2020-07-16,58.7,53.87,48.64,39.93
2020-07-17,44.86,44.86,44.86,37.0
2020-07-18,39.45,39.45,39.45,39.45
2020-07-19,40.42,40.42,40.42,40.42
2020-07-20,43.9,43.9,43.9,41.0
2020-07-21,42.74,42.93,42.93,42.93
2020-07-22,45.74,45.51,45.64,43.9
2020-07-23,45.89,45.23,45.57,44.0
2020-07-24,40.02,40.8,40.8,41.59
2020-07-25,32.22,32.22,32.22,38.56
2020-07-26,36.97,40.99,40.0,40.99
2020-07-27,39.36,40.6,41.0,40.6
2020-07-28,36.94,40.7,44.0,40.7
2020-07-29,39.38,47.27,62.12,43.78
2020-07-30,60.02,56.84,63.6,44.92
2020-07-31,54.4,53.32,69.5,46.15
2020-08-01,38.78,38.78,40.0,38.78
2020-08-02,38.43,38.43,40.0,38.43
2020-08-03,45.45,45.45,47.39,41.53
2020-08-04,49.67,41.2,46.0,41.2
2020-08-05,43.4,43.4,51.98,43.4
2020-08-06,53.96,53.96,53.96,46.15
2020-08-07,50.11,50.11,50.11,47.07
2020-08-08,41.2,41.2,41.2,41.2
2020-08-09,40.24,42.11,42.11,42.11
2020-08-10,52.74,52.74,52.74,43.4
2020-08-11,46.49,50.92,50.92,44.21
2020-08-12,56.4,56.4,56.4,45.07
2020-08-13,53.39,53.39,53.39,44.29
2020-08-14,53.28,46.08,46.08,41.91
2020-08-15,39.93,39.93,39.93,39.93
2020-08-16,40.21,40.21,42.31,40.21
2020-08-17,61.47,55.8,55.8,44.31
2020-08-18,58.05,58.05,58.05,44.58
2020-08-19,53.58,50.9,50.9,41.69
2020-08-20,63.37,59.85,59.85,43.82
2020-08-21,41.83,41.83,41.83,41.83
2020-08-22,35.07,35.07,41.6,39.79
