,DE_LU_WINDOFFSHORE,ES_WINDOFFSHORE
2020-05-03,66917.0,0.0
2020-05-04,191920.0,0.0
2020-05-05,139876.0,0.0
2020-05-06,162223.0,0.0
2020-05-07,95880.0,0.0
2020-05-08,92019.0,0.0
2020-05-09,7020.0,0.0
2020-05-10,335185.0,0.0
2020-05-11,487477.0,0.0
2020-05-12,299644.0,0.0
2020-05-13,246975.0,0.0
2020-05-14,133064.0,0.0
2020-05-15,344610.0,0.0
2020-05-16,296053.0,0.0
2020-05-17,393719.0,0.0
2020-05-18,321053.0,0.0
2020-05-19,151090.0,0.0
2020-05-20,4070.0,0.0
2020-05-21,67648.0,0.0
2020-05-22,406037.0,0.0
2020-05-23,463682.0,0.0
2020-05-24,386163.0,0.0
2020-05-25,238567.0,0.0
2020-05-26,4700.0,0.0
2020-05-27,150249.0,0.0
2020-05-28,96370.0,0.0
2020-05-29,62063.0,0.0
2020-05-30,84353.0,0.0
2020-05-31,249261.0,0.0
2020-06-01,200119.0,0.0
2020-06-02,56960.0,0.0
2020-06-03,329901.0,0.0
2020-06-04,362166.0,0.0
2020-06-05,264450.0,0.0
2020-06-06,483961.0,0.0
2020-06-07,145201.0,0.0
2020-06-08,63674.0,0.0
2020-06-09,6318.0,0.0
2020-06-10,98147.0,0.0
2020-06-11,460875.0,0.0
2020-06-12,417758.0,0.0
2020-06-13,386209.0,0.0
2020-06-14,283595.0,0.0
2020-06-15,112030.0,0.0
2020-06-16,15829.0,0.0
2020-06-17,99266.0,0.0
2020-06-18,103814.0,0.0
2020-06-19,37224.0,0.0
2020-06-20,68359.0,0.0
2020-06-21,109914.0,0.0
2020-06-22,49661.0,0.0
2020-06-23,34306.0,0.0
2020-06-24,85175.0,0.0
2020-06-25,233217.0,0.0
2020-06-26,164388.0,0.0
2020-06-27,79739.0,0.0
2020-06-28,300435.0,0.0
2020-06-29,368700.0,0.0
2020-06-30,317232.0,0.0
2020-07-01,170465.0,0.0
2020-07-02,55245.0,0.0
2020-07-03,239834.0,0.0
2020-07-04,513582.0,0.0
2020-07-05,401755.0,0.0
2020-07-06,488698.0,0.0
2020-07-07,351423.0,0.0
2020-07-08,117160.0,0.0
2020-07-09,49403.0,0.0
2020-07-10,242353.0,0.0
2020-07-11,218358.0,0.0
2020-07-12,132636.0,0.0
2020-07-13,92356.0,0.0
2020-07-14,102827.0,0.0
2020-07-15,17204.0,0.0
2020-07-16,18743.0,0.0
2020-07-17,20665.0,0.0
2020-07-18,73017.0,0.0
2020-07-19,72464.0,0.0
2020-07-20,105789.0,0.0
2020-07-21,147621.0,0.0
2020-07-22,64639.0,0.0
2020-07-23,215139.0,0.0
2020-07-24,157046.0,0.0
2020-07-25,230082.0,0.0
2020-07-26,317684.0,0.0
2020-07-27,317987.0,0.0
2020-07-28,523078.0,0.0
2020-07-29,505319.0,0.0
2020-07-30,181504.0,0.0
2020-07-31,136937.0,0.0
2020-08-01,266499.0,0.0
2020-08-02,125392.0,0.0
2020-08-03,29777.0,0.0
2020-08-04,114056.0,0.0
2020-08-05,355142.0,0.0
2020-08-06,91099.0,0.0
2020-08-07,58401.0,0.0
2020-08-08,25862.0,0.0
2020-08-09,150004.0,0.0
2020-08-10,261155.0,0.0
2020-08-11,349190.0,0.0
2020-08-12,383383.0,0.0
2020-08-13,296289.0,0.0
2020-08-14,103869.0,0.0
2020-08-15,111602.0,0.0
2020-08-16,101818.0,0.0
2020-08-17,39908.0,0.0
2020-08-18,36032.0,0.0
2020-08-19,102780.0,0.0
2020-08-20,216106.0,0.0
2020-08-21,419707.0,0.0
2020-08-22,491545.0,0.0
2020-08-23,326196.0,0.0
2020-08-24,77305.0,0.0
2020-08-25,322022.0,0.0
2020-08-26,391813.0,0.0
2020-08-27,135424.0,0.0
2020-08-28,354422.0,0.0
2020-08-29,156507.0,0.0
2020-08-30,268626.0,0.0
2020-08-31,105961.0,0.0
2020-09-01,71431.0,0.0
2020-09-02,57749.0,0.0
2020-09-03,360927.0,0.0
2020-09-04,310963.0,0.0
2020-09-05,434234.0,0.0
2020-09-06,168730.0,0.0
2020-09-07,241024.0,0.0
2020-09-08,340019.0,0.0
2020-09-09,476560.0,0.0
2020-09-10,148323.0,0.0
2020-09-11,308751.0,0.0
2020-09-12,411629.0,0.0
2020-09-13,428176.0,0.0
2020-09-14,66364.0,0.0
2020-09-15,16957.0,0.0
2020-09-16,334026.0,0.0
2020-09-17,197583.0,0.0
2020-09-18,123801.0,0.0
2020-09-19,201626.0,0.0
2020-09-20,88702.0,0.0
2020-09-21,5648.0,0.0
2020-09-22,23895.0,0.0
2020-09-23,303451.0,0.0
2020-09-24,451521.0,0.0
