,DE_LU_BIO,FR_BIO,IT_NORD_BIO,ES_BIO
2019-06-20,445910.0,7028.0,4136.0,7936.0
2019-06-21,449488.0,7250.0,4548.0,8310.0
2019-06-22,450727.0,9709.0,4503.0,8139.0
2019-06-23,450090.0,9784.0,4545.0,7897.0
2019-06-24,444281.0,11749.0,4400.0,7520.0
2019-06-25,439151.0,10618.0,4424.0,6327.0
2019-06-26,423344.0,9914.0,3750.0,7574.0
2019-06-27,424599.0,7444.0,3871.0,8670.0
2019-06-28,451599.0,7110.0,4346.0,8879.0
2019-06-29,451447.0,7015.0,4351.0,9073.0
2019-06-30,437723.0,6525.0,4368.0,9168.0
2019-07-01,440933.0,6830.0,4153.0,9016.0
2019-07-02,430170.0,6844.0,4161.0,9299.0
2019-07-03,452375.0,6850.0,3968.0,9309.0
2019-07-04,452884.0,7264.0,3784.0,9385.0
2019-07-05,451302.0,7255.0,3982.0,9585.0
2019-07-06,449068.0,7248.0,3614.0,9740.0
2019-07-07,451427.0,7163.0,3497.0,9689.0
2019-07-08,445497.0,7320.0,3286.0,9449.0
2019-07-09,417309.0,7383.0,3399.0,9397.0
2019-07-10,418482.0,7411.0,3807.0,9485.0
2019-07-11,439054.0,7446.0,4235.0,9623.0
2019-07-12,422884.0,7453.0,4433.0,9576.0
2019-07-13,424116.0,7452.0,4635.0,9476.0
2019-07-14,426345.0,7460.0,4454.0,9263.0
2019-07-15,425339.0,7412.0,3613.0,8987.0
2019-07-16,420768.0,7434.0,3831.0,9248.0
2019-07-17,419111.0,7384.0,4457.0,9110.0
2019-07-18,418486.0,7488.0,4702.0,9271.0
2019-07-19,417223.0,7744.0,4664.0,9091.0
2019-07-20,413512.0,7898.0,4305.0,8696.0
2019-07-21,414976.0,7870.0,5063.0,8771.0
2019-07-22,413109.0,7847.0,4822.0,8170.0
2019-07-23,409375.0,7690.0,4887.0,6909.0
2019-07-24,400429.0,7511.0,5088.0,6886.0
2019-07-25,405078.0,5903.0,4791.0,7817.0
2019-07-26,407038.0,7912.0,4716.0,8523.0
2019-07-27,404759.0,10216.0,4598.0,8593.0
2019-07-28,411548.0,10284.0,4786.0,8727.0
2019-07-29,412325.0,10188.0,5170.0,8266.0
2019-07-30,413053.0,7755.0,4967.0,8170.0
2019-07-31,413250.0,7470.0,4992.0,8759.0
2019-08-01,411690.0,7752.0,4806.0,9030.0
2019-08-02,413960.0,7960.0,4977.0,8969.0
2019-08-03,416807.0,7979.0,4841.0,9083.0
2019-08-04,414512.0,7896.0,5314.0,9273.0
2019-08-05,413444.0,7871.0,4906.0,8729.0
2019-08-06,411612.0,7888.0,4926.0,8660.0
2019-08-07,409353.0,8206.0,4956.0,9051.0
2019-08-08,405909.0,10671.0,5384.0,8867.0
2019-08-09,400751.0,11371.0,5059.0,9183.0
2019-08-10,397393.0,10355.0,4976.0,9343.0
2019-08-11,401424.0,13418.0,5351.0,9257.0
2019-08-12,404861.0,13584.0,5299.0,7554.0
2019-08-13,406791.0,13772.0,4809.0,7820.0
2019-08-14,405636.0,13787.0,4883.0,8179.0
2019-08-15,401773.0,14307.0,4642.0,8902.0
2019-08-16,414437.0,14166.0,4905.0,9068.0
2019-08-17,433799.0,12444.0,4851.0,8912.0
2019-08-18,434367.0,13934.0,4756.0,8986.0
2019-08-19,433621.0,14223.0,4349.0,8946.0
2019-08-20,434590.0,14195.0,4509.0,8901.0
2019-08-21,435607.0,14155.0,5348.0,8141.0
2019-08-22,436896.0,14117.0,5440.0,8949.0
2019-08-23,435275.0,14164.0,5509.0,9328.0
2019-08-24,429911.0,14147.0,5321.0,9186.0
2019-08-25,423209.0,13537.0,4717.0,9120.0
2019-08-26,416831.0,10332.0,4880.0,8752.0
2019-08-27,416355.0,7836.0,4956.0,8625.0
2019-08-28,417681.0,8277.0,4816.0,8367.0
2019-08-29,417274.0,10650.0,5021.0,8272.0
2019-08-30,421862.0,10378.0,5217.0,9360.0
2019-08-31,407759.0,7850.0,5343.0,9115.0
