,DE_LU_HYDROSTORAGE,FR_HYDROSTORAGE,IT_NORD_HYDROSTORAGE
2019-10-30,112445.0,26444.0,5725.0
2019-10-31,97181.0,18470.0,7407.0
2019-11-01,51356.0,5352.0,2834.0
2019-11-02,70850.0,1535.0,9031.0
2019-11-03,88893.0,7181.0,3279.0
2019-11-04,92644.0,19989.0,5222.0
2019-11-05,126227.0,24396.0,9407.0
2019-11-06,159814.0,28908.0,14052.0
2019-11-07,71021.0,20506.0,7198.0
2019-11-08,159587.0,27521.0,9695.0
2019-11-09,52184.0,4417.0,5404.0
2019-11-10,67457.0,5731.0,3441.0
2019-11-11,99031.0,15969.0,10278.0
2019-11-12,70933.0,25026.0,15017.0
2019-11-13,101744.0,27706.0,12158.0
2019-11-14,105553.0,30383.0,10700.0
2019-11-15,140143.0,30631.0,10600.0
2019-11-16,34524.0,6563.0,5489.0
2019-11-17,64717.0,5810.0,6583.0
2019-11-18,133304.0,37086.0,12482.0
2019-11-19,111952.0,32097.0,13857.0
2019-11-20,176636.0,26164.0,8623.0
2019-11-21,136776.0,19816.0,7232.0
2019-11-22,81294.0,11208.0,8597.0
2019-11-23,28676.0,9786.0,5626.0
2019-11-24,74410.0,5676.0,3584.0
2019-11-25,167669.0,25646.0,12214.0
2019-11-26,110545.0,13820.0,6120.0
2019-11-27,97692.0,11035.0,6763.0
2019-11-28,79306.0,9351.0,10479.0
2019-11-29,84368.0,18229.0,10554.0
2019-11-30,74608.0,4157.0,5210.0
2019-12-01,80706.0,7638.0,3481.0
2019-12-02,114872.0,27828.0,14827.0
2019-12-03,115049.0,25884.0,16455.0
2019-12-04,142053.0,36966.0,17851.0
2019-12-05,132183.0,34314.0,15065.0
2019-12-06,99270.0,10139.0,8352.0
2019-12-07,137799.0,3577.0,7242.0
2019-12-08,63250.0,3136.0,2470.0
2019-12-09,137455.0,13440.0,6404.0
2019-12-10,139957.0,26644.0,5864.0
2019-12-11,160493.0,29583.0,14709.0
2019-12-12,138752.0,26513.0,15909.0
2019-12-13,150003.0,21401.0,10145.0
2019-12-14,48315.0,5559.0,3407.0
2019-12-15,78892.0,13795.0,1989.0
2019-12-16,140632.0,28142.0,12214.0
2019-12-17,89768.0,33971.0,3585.0
2019-12-18,125689.0,19747.0,4111.0
2019-12-19,115233.0,9587.0,7449.0
2019-12-20,102392.0,16543.0,17916.0
2019-12-21,138767.0,12417.0,9570.0
2019-12-22,123019.0,4441.0,6674.0
2019-12-23,144481.0,24814.0,10264.0
2019-12-24,127067.0,7874.0,13082.0
2019-12-25,102840.0,12769.0,6179.0
2019-12-26,102820.0,18119.0,6819.0
2019-12-27,132872.0,23090.0,5355.0
2019-12-28,90885.0,20971.0,7973.0
2019-12-29,114243.0,14763.0,3987.0
2019-12-30,97733.0,24725.0,5242.0
2019-12-31,164305.0,16556.0,11241.0
2020-01-01,101986.0,7111.0,926.0
2020-01-02,134468.0,14229.0,2349.0
2020-01-03,118568.0,9482.0,4151.0
2020-01-04,65108.0,7592.0,2524.0
2020-01-05,91452.0,11043.0,5537.0
2020-01-06,108493.0,11215.0,2189.0
2020-01-07,138433.0,23358.0,3526.0
2020-01-08,124964.0,23136.0,5040.0
2020-01-09,82347.0,13371.0,7726.0
2020-01-10,114884.0,16809.0,4597.0
2020-01-11,90988.0,5075.0,2024.0
2020-01-12,28541.0,8784.0,401.0
2020-01-13,181465.0,23399.0,7801.0
2020-01-14,124005.0,17638.0,7190.0
2020-01-15,109356.0,15639.0,3676.0
2020-01-16,145136.0,10723.0,4647.0
2020-01-17,124060.0,19831.0,4550.0
2020-01-18,118651.0,11189.0,2519.0
2020-01-19,69394.0,4283.0,755.0
2020-01-20,132708.0,31057.0,3352.0
2020-01-21,117464.0,17156.0,6074.0
2020-01-22,162951.0,31706.0,4060.0
2020-01-23,156235.0,27490.0,3299.0
2020-01-24,140642.0,29448.0,3913.0
2020-01-25,98654.0,20142.0,1364.0
2020-01-26,68584.0,9185.0,829.0
2020-01-27,134263.0,24816.0,5194.0
2020-01-28,127160.0,22360.0,6318.0
2020-01-29,109688.0,29520.0,6507.0
2020-01-30,140079.0,19905.0,3571.0
2020-01-31,155337.0,14065.0,3572.0
2020-02-01,117718.0,0.0,917.0
2020-02-02,132728.0,1939.0,4671.0
2020-02-03,144204.0,9109.0,2557.0
2020-02-04,110351.0,7693.0,8824.0
2020-02-05,153423.0,29466.0,3582.0
2020-02-06,133674.0,29681.0,2876.0
2020-02-07,142280.0,23764.0,6877.0
2020-02-08,98423.0,7694.0,653.0
2020-02-09,71520.0,767.0,110.0
2020-02-10,174036.0,13256.0,4564.0
2020-02-11,135592.0,13769.0,4378.0
2020-02-12,112047.0,17599.0,5529.0
2020-02-13,117568.0,21185.0,3193.0
2020-02-14,184432.0,28739.0,2606.0
2020-02-15,100181.0,3931.0,3654.0
2020-02-16,64574.0,143.0,3642.0
2020-02-17,164117.0,22033.0,2756.0
2020-02-18,117514.0,15519.0,4745.0
2020-02-19,138691.0,32573.0,6349.0
2020-02-20,139565.0,19319.0,7366.0
2020-02-21,166979.0,22530.0,5331.0
2020-02-22,49343.0,3298.0,2830.0
2020-02-23,115023.0,550.0,480.0
2020-02-24,149879.0,19315.0,5777.0
2020-02-25,130189.0,15102.0,4976.0
2020-02-26,163418.0,31161.0,2924.0
2020-02-27,183863.0,40064.0,5651.0
2020-02-28,142471.0,15501.0,6834.0
2020-02-29,64390.0,1692.0,2643.0
2020-03-01,97119.0,8991.0,5004.0
2020-03-02,139950.0,22222.0,7062.0
2020-03-03,159598.0,27134.0,7182.0
2020-03-04,148608.0,24519.0,8083.0
2020-03-05,138624.0,20489.0,6943.0
2020-03-06,178526.0,15853.0,5326.0
2020-03-07,112364.0,10475.0,339.0
2020-03-08,72928.0,7450.0,1922.0
2020-03-09,177665.0,26237.0,5881.0
2020-03-10,110592.0,11894.0,3035.0
2020-03-11,168427.0,7038.0,3365.0
2020-03-12,139700.0,10247.0,7458.0
2020-03-13,161479.0,21084.0,8110.0
2020-03-14,105478.0,9206.0,6729.0
2020-03-15,71581.0,3399.0,1979.0
2020-03-16,134949.0,19604.0,5576.0
2020-03-17,130476.0,15928.0,2921.0
2020-03-18,146317.0,19584.0,2024.0
2020-03-19,120226.0,13079.0,2461.0
2020-03-20,106837.0,15578.0,2172.0
2020-03-21,120260.0,4219.0,5909.0
2020-03-22,79628.0,1275.0,5521.0
2020-03-23,171222.0,9390.0,4602.0
2020-03-24,127982.0,12529.0,6393.0
2020-03-25,102694.0,12946.0,2169.0
2020-03-26,129787.0,15123.0,2253.0
2020-03-27,150624.0,17757.0,7398.0
2020-03-28,132474.0,9772.0,4500.0
2020-03-29,67616.0,4681.0,2975.0
2020-03-30,159673.0,24857.0,1170.0
2020-03-31,164366.0,22764.0,1316.0
2020-04-01,162608.0,26761.0,2908.0
2020-04-02,96486.0,19179.0,7305.0
2020-04-03,168507.0,29466.0,11025.0
2020-04-04,140409.0,10554.0,977.0
2020-04-05,68402.0,3880.0,5068.0
2020-04-06,174504.0,24659.0,3465.0
2020-04-07,137760.0,21767.0,8503.0
2020-04-08,151740.0,19680.0,2913.0
2020-04-09,135182.0,7967.0,5243.0
2020-04-10,123300.0,17203.0,5667.0
2020-04-11,150093.0,14501.0,8829.0
2020-04-12,104865.0,16036.0,6464.0
2020-04-13,61809.0,0.0,493.0
2020-04-14,176586.0,22362.0,820.0
2020-04-15,151420.0,14765.0,1942.0
2020-04-16,133450.0,19789.0,996.0
2020-04-17,159824.0,18826.0,2700.0
2020-04-18,125032.0,12401.0,4228.0
2020-04-19,79937.0,5844.0,1586.0
2020-04-20,177880.0,4795.0,5020.0
2020-04-21,151011.0,8878.0,1943.0
2020-04-22,169107.0,10440.0,1118.0
