,DE_LU_SUN,FR_SUN,IT_NORD_SUN,ES_SUN
2019-09-04,764771.0,49163.0,28682.0,50611.0
2019-09-05,483312.0,39693.0,25506.0,50593.0
2019-09-06,613769.0,47261.0,9973.0,53659.0
2019-09-07,360625.0,39083.0,25796.0,50699.0
2019-09-08,359076.0,42105.0,15464.0,39727.0
2019-09-09,282061.0,34986.0,30409.0,47919.0
2019-09-10,677367.0,29192.0,21220.0,50571.0
2019-09-11,667037.0,41545.0,29303.0,41288.0
2019-09-12,540573.0,44600.0,29035.0,30429.0
2019-09-13,516024.0,43279.0,28668.0,17951.0
2019-09-14,728442.0,37124.0,27531.0,20611.0
2019-09-15,705781.0,43737.0,24357.0,33733.0
2019-09-16,406932.0,43384.0,26263.0,41734.0
2019-09-17,484736.0,41556.0,24723.0,36189.0
2019-09-18,680780.0,41011.0,15701.0,47350.0
2019-09-19,704592.0,44241.0,13284.0,48341.0
2019-09-20,681067.0,43272.0,23400.0,21673.0
2019-09-21,765531.0,28105.0,28064.0,16346.0
2019-09-22,629174.0,19220.0,6303.0,30465.0
2019-09-23,319091.0,30856.0,8666.0,47127.0
2019-09-24,394178.0,22658.0,23673.0,54728.0
2019-09-25,318779.0,23440.0,16194.0,56931.0
2019-09-26,271374.0,28266.0,23125.0,58958.0
2019-09-27,290047.0,29260.0,15677.0,58749.0
2019-09-28,415234.0,30617.0,20698.0,57404.0
2019-09-29,382122.0,34222.0,24543.0,56074.0
2019-09-30,378667.0,31140.0,24645.0,53444.0
2019-10-01,318208.0,26502.0,18744.0,47139.0
2019-10-02,329144.0,27626.0,13925.0,52000.0
2019-10-03,340404.0,34105.0,18836.0,49805.0
2019-10-04,188755.0,22391.0,19147.0,51765.0
2019-10-05,250506.0,25888.0,23119.0,49613.0
2019-10-06,266160.0,21442.0,14449.0,49183.0
2019-10-07,399669.0,28631.0,20511.0,49493.0
2019-10-08,156570.0,31213.0,22736.0,49177.0
2019-10-09,221695.0,19868.0,12326.0,46504.0
2019-10-10,325807.0,31398.0,17555.0,44053.0
2019-10-11,337157.0,36812.0,19663.0,27773.0
2019-10-12,468835.0,20306.0,14856.0,25505.0
2019-10-13,467208.0,31822.0,11971.0,40203.0
2019-10-14,533383.0,19931.0,12474.0,21149.0
2019-10-15,405626.0,23246.0,9736.0,42388.0
2019-10-16,324325.0,26830.0,22489.0,44392.0
2019-10-17,314398.0,18668.0,18717.0,33059.0
2019-10-18,312774.0,16095.0,10488.0,23870.0
2019-10-19,182582.0,15045.0,11967.0,20803.0
2019-10-20,284931.0,12607.0,13759.0,19479.0
2019-10-21,236834.0,17167.0,12505.0,34450.0
2019-10-22,288201.0,11789.0,9631.0,17440.0
2019-10-23,272451.0,10738.0,14489.0,11550.0
2019-10-24,257508.0,18389.0,3392.0,37028.0
2019-10-25,332492.0,28408.0,12718.0,47014.0
2019-10-26,405611.0,31153.0,19626.0,46234.0
2019-10-27,246577.0,19388.0,19297.0,32072.0
2019-10-28,281405.0,13723.0,8144.0,22313.0
2019-10-29,239120.0,20848.0,3766.0,28111.0
2019-10-30,319032.0,18041.0,2634.0,26782.0
2019-10-31,408637.0,12615.0,2762.0,21035.0
2019-11-01,152565.0,9329.0,5076.0,21095.0
2019-11-02,165024.0,12492.0,2188.0,16591.0
2019-11-03,141148.0,12906.0,2468.0,22623.0
2019-11-04,189595.0,14207.0,15704.0,17773.0
2019-11-05,144276.0,14524.0,7978.0,25491.0
2019-11-06,126672.0,16786.0,5614.0,31035.0
2019-11-07,221852.0,11155.0,8044.0,24615.0
2019-11-08,132276.0,16538.0,3798.0,36897.0
2019-11-09,124006.0,19234.0,13895.0,27009.0
2019-11-10,254146.0,15720.0,12743.0,17759.0
2019-11-11,155835.0,12929.0,1921.0,9948.0
2019-11-12,146306.0,19794.0,2539.0,31376.0
2019-11-13,121318.0,18637.0,11903.0,20766.0
2019-11-14,282776.0,8445.0,8200.0,11520.0
2019-11-15,100225.0,13096.0,1765.0,21478.0
2019-11-16,130860.0,13483.0,4371.0,34058.0
2019-11-17,81745.0,13458.0,4395.0,10346.0
2019-11-18,117934.0,13237.0,7791.0,30501.0
2019-11-19,147940.0,16369.0,1661.0,21388.0
2019-11-20,87453.0,17985.0,6301.0,12830.0
2019-11-21,77468.0,13041.0,3829.0,9366.0
2019-11-22,119672.0,11256.0,3911.0,5187.0
2019-11-23,191727.0,7902.0,1846.0,22415.0
2019-11-24,154787.0,10765.0,2814.0,21724.0
2019-11-25,56161.0,13513.0,10916.0,11358.0
2019-11-26,90177.0,13349.0,9007.0,12613.0
2019-11-27,66592.0,12210.0,1329.0,16977.0
2019-11-28,100061.0,11799.0,3126.0,13957.0
2019-11-29,123971.0,15206.0,5815.0,17254.0
2019-11-30,188768.0,10038.0,5491.0,19943.0
2019-12-01,86092.0,8754.0,1189.0,14758.0
2019-12-02,124449.0,14068.0,4166.0,10997.0
2019-12-03,137037.0,19424.0,9922.0,14944.0
2019-12-04,234967.0,12341.0,10228.0,11343.0
2019-12-05,184951.0,14918.0,8459.0,19283.0
2019-12-06,124654.0,14090.0,3986.0,24588.0
2019-12-07,76700.0,12354.0,9801.0,24735.0
2019-12-08,96093.0,12118.0,5733.0,18196.0
2019-12-09,117915.0,12163.0,3610.0,18137.0
2019-12-10,179707.0,17880.0,8806.0,23350.0
2019-12-11,85665.0,6751.0,9808.0,16031.0
2019-12-12,66241.0,9241.0,1355.0,12412.0
2019-12-13,67788.0,9205.0,1643.0,11763.0
2019-12-14,89713.0,10381.0,11137.0,13006.0
2019-12-15,112690.0,14076.0,4936.0,18571.0
2019-12-16,112185.0,6772.0,2327.0,10648.0
2019-12-17,133251.0,7662.0,1782.0,15639.0
2019-12-18,121416.0,13768.0,1440.0,19451.0
2019-12-19,170067.0,7847.0,1278.0,5956.0
2019-12-20,110722.0,8378.0,1643.0,4433.0
2019-12-21,125972.0,13927.0,4474.0,10560.0
2019-12-22,63551.0,10493.0,5273.0,18070.0
2019-12-23,66372.0,12515.0,9462.0,26805.0
2019-12-24,75321.0,11633.0,7313.0,30729.0
2019-12-25,53676.0,15519.0,11263.0,27976.0
2019-12-26,109332.0,12331.0,9670.0,21024.0
2019-12-27,83837.0,13192.0,8149.0,29848.0
2019-12-28,144957.0,16869.0,8579.0,33115.0
2019-12-29,219638.0,14700.0,5013.0,29090.0
2019-12-30,212865.0,19669.0,6465.0,26288.0
2019-12-31,146248.0,15053.0,10185.0,26889.0
2020-01-01,203560.0,12533.0,11028.0,28677.0
