,DE_LU_NUC,FR_NUC,ES_NUC
2020-04-02,615415.0,1026097.0,167150.0
2020-04-03,630866.0,1009462.0,165111.0
2020-04-04,626886.0,952590.0,124249.0
2020-04-05,527213.0,722068.0,122305.0
2020-04-06,653986.0,942661.0,134790.0
2020-04-07,722902.0,1032067.0,137851.0
2020-04-08,721995.0,1022893.0,138385.0
2020-04-09,718147.0,968402.0,137983.0
2020-04-10,744620.0,937014.0,137597.0
2020-04-11,723993.0,858501.0,137275.0
2020-04-12,611024.0,802837.0,136846.0
2020-04-13,516703.0,657858.0,152337.0
2020-04-14,624267.0,914461.0,153669.0
2020-04-15,632679.0,965036.0,141905.0
2020-04-16,600053.0,948516.0,141798.0
2020-04-17,613712.0,948040.0,141763.0
2020-04-18,621042.0,907463.0,141498.0
2020-04-19,587858.0,756448.0,141450.0
2020-04-20,587910.0,785727.0,141247.0
2020-04-21,587807.0,815825.0,141132.0
2020-04-22,612092.0,871858.0,140890.0
2020-04-23,626969.0,934859.0,139981.0
2020-04-24,620715.0,894156.0,132496.0
2020-04-25,617993.0,834343.0,132406.0
2020-04-26,626663.0,814234.0,131675.0
2020-04-27,625664.0,860611.0,117872.0
2020-04-28,628154.0,872732.0,105304.0
2020-04-29,624879.0,855757.0,90707.0
2020-04-30,612561.0,812551.0,90450.0
2020-05-01,592744.0,700867.0,90392.0
2020-05-02,617768.0,760698.0,90115.0
2020-05-03,619639.0,807284.0,89448.0
2020-05-04,624940.0,875284.0,98065.0
2020-05-05,629184.0,868360.0,104263.0
2020-05-06,620119.0,840084.0,104284.0
2020-05-07,620764.0,820400.0,104337.0
2020-05-08,572484.0,863817.0,104152.0
2020-05-09,494404.0,795665.0,104097.0
2020-05-10,484698.0,750149.0,104224.0
2020-05-11,489540.0,788184.0,104340.0
2020-05-12,500796.0,866359.0,104372.0
2020-05-13,501489.0,865014.0,104235.0
2020-05-14,501021.0,864919.0,104267.0
2020-05-15,496964.0,849838.0,104361.0
2020-05-16,493994.0,737621.0,104474.0
2020-05-17,481418.0,687277.0,105400.0
2020-05-18,489065.0,861096.0,94911.0
2020-05-19,494143.0,875765.0,93385.0
2020-05-20,502750.0,851720.0,97418.0
2020-05-21,490770.0,785450.0,97379.0
2020-05-22,490199.0,779439.0,97332.0
2020-05-23,476426.0,663063.0,97347.0
2020-05-24,519255.0,614125.0,97331.0
2020-05-25,617708.0,797124.0,97340.0
2020-05-26,633191.0,829184.0,97255.0
2020-05-27,620720.0,822409.0,97148.0
2020-05-28,622153.0,809940.0,97160.0
2020-05-29,603594.0,822904.0,97198.0
2020-05-30,607107.0,733887.0,97180.0
2020-05-31,644139.0,646259.0,93978.0
2020-06-01,722641.0,748550.0,95104.0
2020-06-02,749536.0,831514.0,98297.0
2020-06-03,749237.0,827648.0,103622.0
2020-06-04,754809.0,842468.0,114682.0
2020-06-05,747851.0,798345.0,120499.0
2020-06-06,714191.0,637340.0,121234.0
2020-06-07,747717.0,680923.0,121252.0
2020-06-08,756577.0,744830.0,121356.0
2020-06-09,756269.0,758970.0,121395.0
2020-06-10,752808.0,764946.0,121159.0
2020-06-11,745074.0,739623.0,115881.0
2020-06-12,702112.0,723548.0,115494.0
2020-06-13,602725.0,667971.0,115898.0
2020-06-14,615799.0,665195.0,115949.0
2020-06-15,624418.0,707274.0,115608.0
2020-06-16,625842.0,679140.0,116872.0
2020-06-17,622587.0,710089.0,121433.0
2020-06-18,620540.0,724434.0,121310.0
2020-06-19,539375.0,728733.0,121330.0
2020-06-20,500227.0,699471.0,127127.0
2020-06-21,490552.0,654774.0,137913.0
2020-06-22,508076.0,698498.0,125402.0
2020-06-23,508039.0,661649.0,120312.0
2020-06-24,504566.0,648514.0,120287.0
2020-06-25,505231.0,681794.0,120319.0
2020-06-26,504822.0,674495.0,121006.0
2020-06-27,503845.0,668610.0,117086.0
2020-06-28,485926.0,614774.0,135779.0
2020-06-29,482916.0,634415.0,152526.0
2020-06-30,473279.0,621766.0,165999.0
2020-07-01,506716.0,638500.0,166942.0
2020-07-02,509107.0,659730.0,167217.0
2020-07-03,508857.0,693517.0,167986.0
2020-07-04,446272.0,611558.0,168404.0
2020-07-05,399663.0,529442.0,168203.0
2020-07-06,472417.0,664918.0,167895.0
2020-07-07,511926.0,709393.0,165698.0
2020-07-08,512187.0,704602.0,167035.0
2020-07-09,508900.0,704371.0,168028.0
2020-07-10,457355.0,701938.0,167812.0
2020-07-11,418492.0,684687.0,157781.0
2020-07-12,463295.0,648226.0,161606.0
2020-07-13,473294.0,722105.0,166968.0
2020-07-14,469901.0,740404.0,167389.0
2020-07-15,487108.0,768592.0,167599.0
2020-07-16,558595.0,776976.0,167624.0
2020-07-17,624902.0,785214.0,167646.0
2020-07-18,584398.0,763668.0,167615.0
2020-07-19,613623.0,759405.0,167517.0
2020-07-20,617974.0,791275.0,167523.0
2020-07-21,619233.0,790527.0,167318.0
2020-07-22,624512.0,788161.0,167411.0
2020-07-23,621225.0,782877.0,167442.0
2020-07-24,621720.0,801295.0,166740.0
2020-07-25,620112.0,750542.0,167247.0
2020-07-26,611316.0,705525.0,167030.0
2020-07-27,615588.0,732007.0,166999.0
2020-07-28,598692.0,749030.0,166451.0
2020-07-29,611447.0,768771.0,167078.0
2020-07-30,620974.0,761802.0,167028.0
2020-07-31,619131.0,744543.0,166920.0
2020-08-01,615548.0,719958.0,166463.0
2020-08-02,577924.0,727787.0,166946.0
2020-08-03,570529.0,751325.0,167278.0
2020-08-04,605209.0,749317.0,167392.0
2020-08-05,717278.0,748954.0,167327.0
2020-08-06,747638.0,736463.0,167234.0
2020-08-07,747740.0,749907.0,167185.0
